filename,status,flags,num_detections,coverage,convexity,aspect_ratio,thumbnail_path
mango21_bac_u_ver.jpg,ok,coverage_too_small(0.024),1,0.0239,0.9682,1.38,
mango21_bot_u.jpg,ok,coverage_too_small(0.017),1,0.0173,0.9622,1.21,
mango21_bot_u_hor.jpg,ok,coverage_too_small(0.017),1,0.0173,0.9646,1.21,
mango21_bot_u_ver.jpg,ok,coverage_too_small(0.017),1,0.0172,0.9639,1.21,
mango21_fro_u.jpg,ok,coverage_too_small(0.026),1,0.0265,0.9692,1.45,
mango21_fro_u_hor.jpg,ok,coverage_too_small(0.026),1,0.0265,0.9681,1.52,
mango21_fro_u_ver.jpg,ok,coverage_too_small(0.026),1,0.0264,0.9674,1.45,
mango21_sia_u.jpg,ok,coverage_too_small(0.035),1,0.0354,0.9719,1.1,
mango21_sia_u_ver.jpg,ok,coverage_too_small(0.035),1,0.035,0.9703,1.1,
mango21_sib_u.jpg,ok,coverage_too_small(0.032),1,0.0325,0.9662,1.15,
mango21_sib_u_ver.jpg,ok,coverage_too_small(0.032),1,0.0323,0.9639,1.15,
mango21_top_u.jpg,ok,coverage_too_small(0.024),1,0.0244,0.9651,1.22,
mango21_top_u_hor.jpg,ok,coverage_too_small(0.024),1,0.0243,0.9645,1.22,
mango21_top_u_ver.jpg,ok,coverage_too_small(0.024),1,0.0239,0.9676,1.23,
mango22_bac_u.jpg,ok,coverage_too_small(0.024),1,0.0237,0.9655,1.43,
mango22_bac_u_hor.jpg,ok,coverage_too_small(0.024),1,0.024,0.9628,1.36,
mango22_bac_u_ver.jpg,ok,coverage_too_small(0.024),1,0.0238,0.9614,1.43,
mango22_bot_u.jpg,ok,coverage_too_small(0.022),1,0.0222,0.9705,1.24,
mango22_bot_u_hor.jpg,ok,coverage_too_small(0.022),1,0.0223,0.9622,1.23,
mango22_bot_u_ver.jpg,ok,coverage_too_small(0.022),1,0.0222,0.9703,1.24,
mango22_fro_u.jpg,ok,coverage_too_small(0.020),1,0.0197,0.9605,1.35,
mango22_fro_u_hor.jpg,ok,coverage_too_small(0.020),1,0.0198,0.9594,1.35,
mango22_fro_u_ver.jpg,ok,coverage_too_small(0.019),1,0.0195,0.9631,1.42,
mango22_sia_u.jpg,ok,coverage_too_small(0.030),1,0.0304,0.9663,1.19,
mango22_sia_u_ver.jpg,ok,coverage_too_small(0.030),1,0.03,0.9639,1.19,
mango22_sib_u.jpg,ok,coverage_too_small(0.032),1,0.0315,0.9666,1.15,
mango22_sib_u_ver.jpg,ok,coverage_too_small(0.031),1,0.0312,0.9691,1.11,
mango22_top_u.jpg,ok,coverage_too_small(0.021),1,0.0211,0.9674,1.19,
mango22_top_u_hor.jpg,ok,coverage_too_small(0.021),1,0.0212,0.9642,1.19,
mango22_top_u_ver.jpg,ok,coverage_too_small(0.021),1,0.021,0.9687,1.19,
mango23_bac_u.jpg,ok,coverage_too_small(0.023),1,0.0229,0.9652,1.23,
mango23_bac_u_hor.jpg,ok,coverage_too_small(0.023),1,0.023,0.9673,1.4,
mango23_bac_u_ver.jpg,ok,coverage_too_small(0.023),1,0.0229,0.9646,1.27,
mango23_bot_u.jpg,ok,coverage_too_small(0.016),1,0.0157,0.9559,1.22,
mango23_bot_u_hor.jpg,ok,coverage_too_small(0.016),1,0.0157,0.9557,1.22,
mango23_bot_u_ver.jpg,ok,coverage_too_small(0.015),1,0.0154,0.9623,1.17,
mango23_fro_u.jpg,ok,coverage_too_small(0.022),1,0.0223,0.9704,1.53,
mango23_fro_u_hor.jpg,flagged,multi_detection; coverage_too_small(0.022),2,0.0224,0.9691,1.53,audit_flagged/mango23_fro_u_hor.jpg.png
mango23_fro_u_ver.jpg,ok,coverage_too_small(0.022),1,0.0222,0.9666,1.53,
mango23_sia_u.jpg,ok,coverage_too_small(0.031),1,0.031,0.9661,1.19,
mango23_sia_u_ver.jpg,ok,coverage_too_small(0.031),1,0.0309,0.9657,1.19,
mango23_sib_u.jpg,ok,coverage_too_small(0.025),1,0.0251,0.9656,1.22,
mango23_sib_u_ver.jpg,ok,coverage_too_small(0.025),1,0.0251,0.9631,1.26,
mango23_top_u.jpg,ok,coverage_too_small(0.019),1,0.0194,0.9638,1.25,
mango23_top_u_hor.jpg,ok,coverage_too_small(0.019),1,0.0194,0.9649,1.2,
mango23_top_u_ver.jpg,ok,coverage_too_small(0.019),1,0.0191,0.9634,1.2,
mango24_bac_r.jpg,ok,coverage_too_small(0.024),1,0.0242,0.968,1.38,
mango24_bac_r_hor.jpg,ok,coverage_too_small(0.024),1,0.0242,0.9671,1.38,
mango24_bac_r_ver.jpg,ok,coverage_too_small(0.024),1,0.0239,0.9669,1.33,
mango24_bot_r.jpg,ok,coverage_too_small(0.022),1,0.0219,0.9658,1.18,
mango24_bot_r_hor.jpg,ok,coverage_too_small(0.022),1,0.0219,0.9628,1.18,
mango24_bot_r_ver.jpg,ok,coverage_too_small(0.022),1,0.0217,0.9637,1.14,
mango24_fro_r.jpg,ok,coverage_too_small(0.027),1,0.0266,0.9694,1.41,
mango24_fro_r_hor.jpg,ok,coverage_too_small(0.027),1,0.0266,0.9688,1.41,
mango24_fro_r_ver.jpg,ok,coverage_too_small(0.026),1,0.0264,0.9677,1.41,
mango24_sia_r.jpg,ok,coverage_too_small(0.034),1,0.0336,0.9676,1.14,
mango24_sia_r_ver.jpg,ok,coverage_too_small(0.033),1,0.0333,0.9663,1.14,
mango24_sib_r.jpg,ok,coverage_too_small(0.036),1,0.0365,0.9699,1.18,
mango24_sib_r_ver.jpg,ok,coverage_too_small(0.036),1,0.0363,0.9705,1.18,
mango24_top_r.jpg,ok,coverage_too_small(0.028),1,0.028,0.9694,1.16,
mango24_top_r_hor.jpg,ok,coverage_too_small(0.028),1,0.028,0.9707,1.16,
mango24_top_r_ver.jpg,ok,coverage_too_small(0.028),1,0.0278,0.9693,1.16,
mango25_bac_u.jpg,ok,coverage_too_small(0.022),1,0.0219,0.9623,1.4,
